Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6782848'],"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Manpower Outsourcing",[12],Ministry of Defence Department of Military Affairs,2025-11-03T18:54:39Z,2025-11-03T18:54:39Z,No
['GEM/2025/B/6848842'],"Modernization Of Smart Classroom,Wireless Access Point (V2),Layer 2 Access Switch (V2)",[21],Ministry of Education Department of Higher Education,2025-11-03T14:33:23Z,2025-11-03T14:33:23Z,No
['GEM/2025/B/6848629'],Racing and Trekking Mountain Bicycle,[2],Ministry of Defence Department of Military Affairs,2025-11-02T17:52:39Z,2025-11-02T17:52:39Z,No
['GEM/2025/B/6812503'],"Venue Preparation,Educational Posters,Live Feeds,Accessories for live feeds,Transporation",[5],Ministry of Defence Department of Military Affairs,2025-11-01T21:04:52Z,2025-11-01T21:04:52Z,No
['GEM/2025/B/6848565'],"SpeedyBee F405 Mini BLS 35A 20 x 20 Stack,Bonka 14.8 1500mAh 75C 4S 150C Burst Lithium Polymer Batt",[20],Ministry of Defence Department of Military Affairs,2025-11-02T09:52:32Z,2025-11-02T09:52:32Z,No
['GEM/2025/B/6848642'],"Clutch Pressure Plate,Spider Bearing,Gear Lever Kit,Rear Brake Shoe,Front Brake Pad,Hand Brake,Fuel",[31],Ministry of Defence Department of Military Affairs,2025-11-02T16:07:57Z,2025-11-02T16:07:57Z,No
['GEM/2025/B/6848633'],"Acceleration Cable,Front Brake Booster,Air Dryer Assy,Turbo Charger Kit,Fly Wheel Ring,Fuel Filter ",[73],Ministry of Defence Department of Military Affairs,2025-11-02T16:10:13Z,2025-11-02T16:10:13Z,No
['GEM/2025/B/6848626'],"Pull Cable Accelerator,Front Brake Booster,Rear Brake Booster,Air Dryer Assy,Air Dryer Kit,Nozzle,H",[39],Ministry of Defence Department of Military Affairs,2025-11-02T16:10:57Z,2025-11-02T16:10:57Z,No
['GEM/2025/B/6855005'],"Mono Printer,ADF Printer,Colour Pfrinter,High End Scanner,Desktop Celling Lamp Projector",[27],Ministry of Education Department of Higher Education,2025-11-04T15:23:46Z,2025-11-04T15:23:46Z,No
['GEM/2025/B/6841790'],"Artificial Grass Carpet,Heavy Duty Iron,Pen,File Cover Printed,Highlighter,FS Paper",[1771],Ministry of Defence Department of Military Affairs,2025-11-04T10:10:12Z,2025-11-04T10:10:12Z,No
['GEM/2025/B/6859312'],Repair and Overhauling Service - REPAIR OF 04 INJECTORS ASSY PERTAINS TO JCB 3DX 21Q-32584; BOSCH; ,[1],Ministry of Defence Department of Defence,2025-11-06T09:45:36Z,2025-11-06T09:45:36Z,No
['GEM/2025/B/6856662'],"Front drive shaft RH,Front axle seal,IVJ assy,Steering venue pump assy,linkage suspension left,link",[136],Ministry of Defence Department of Defence,2025-11-04T17:53:33Z,2025-11-04T17:53:33Z,No
['GEM/2025/B/6856456'],"Onion,Potato,Milk Fresh TPM,Paneer Fresh,Chicken Live,MOH,Fish,Fresh Egg,Seem,Beans,Brinjal,Bottle ",[270038],Ministry of Home Affairs Central Armed Police Forces,2025-11-04T20:10:18Z,2025-11-04T20:10:18Z,No
['GEM/2025/B/6845426'],"Photostat paper Legal FS 75 gsm 500 Sheet,Photostat paper A3 size 75 gsm 500 Sheet,File Cover Print",[18766],Ministry of Defence Department of Defence,2025-11-05T11:09:54Z,2025-11-05T11:09:54Z,No
['GEM/2025/B/6852698'],apple macbook m4,[5],Ministry of Defence Department of Military Affairs,2025-11-05T10:14:56Z,2025-11-05T10:14:56Z,No
['GEM/2025/B/6857675'],"15W 40 Milcy No 1,Gear Super 80W90,Grease WB,Grease RR3,System HLP 46,Engine Oil CK 4 10W30,Steerin",[12459],Ministry of Defence Department of Defence,2025-11-05T11:30:58Z,2025-11-05T11:30:58Z,No
['GEM/2025/B/6858604'],Monthly Basis Cab and Taxi Hiring Service - Without Fuel - SUV; MAHINDRA BOLERO OR EQUIVALENT VEHIC,[1],Ministry of Power POWER GRID Corporation OF INDIA Limited,2025-11-05T18:11:57Z,2025-11-05T18:11:57Z,No
['GEM/2025/B/6792093'],"Stock Pot Stove,Stock Pot Stove,Stock Pot Stove,Domestic Pressure Cookers (V2) as per IS 2347,Domes",[53],Ministry of Home Affairs Central Armed Police Forces,2025-10-15T17:28:26Z,2025-10-15T17:28:26Z,No
['GEM/2025/B/6794575'],"Cables from Alternator to AMF panels and any other internal cable,Auto and manual synchronizing pan",[7],Ministry of Power SJVN Limited,2025-11-05T18:30:10Z,2025-11-05T18:30:10Z,No
['GEM/2025/B/6858969'],"Entry and Mid Level Desktop Computer,Line Interactive UPS with AVR (V2)",[20],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-11-05T18:49:03Z,2025-11-05T18:49:03Z,No
['GEM/2025/B/6864075'],"Goods Transport Services - Per MT - Food Grains, Road Transport Contract Ex RH Bhalukpong to FSD Bh",[25404],Ministry of Consumer Affairs Food and Public Distribution Department of Food and Public Distribution,2025-11-07T11:09:51Z,2025-11-07T11:09:51Z,No
