Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6686725'],"CBN BRSH, HTSRIM GRADE, PD-BF-01480,CBN BRSH, HTSRIM GRADE, PD-BF-01581",[105],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-18T16:59:40Z,2025-10-18T16:59:40Z,No
['GEM/2025/B/6794820'],Supply and Installation of ALL IN ONE DESKTOP Computers,[10],Ministry of Railways Indian Railways,2025-10-18T11:54:54Z,2025-10-18T11:54:54Z,No
['GEM/2025/B/6794298'],"HP MODEL ONE THOUSAND TWENTY TWELVE A CARTRIDGE,HP MODEL M FIVE HUNDRED SIX F TWO HUNDRED EIGHTY SE",[25],Ministry of Defence Department of Military Affairs,2025-10-21T15:39:39Z,2025-10-21T15:39:39Z,No
['GEM/2025/B/6792800'],"AMMONIUM CHLORIDE LR,CALCIUM CHLORIDE DEHYDRATE,STRONTIUM NITRATE EMPLURA,BARIUM NITRATE PURIFIED,I",[20],Ministry of Defence Department of Military Affairs,2025-10-21T15:49:03Z,2025-10-21T15:49:03Z,No
['GEM/2025/B/6789568'],Sailor RT 6222,[1],Ministry of Defence Department of Military Affairs,2025-10-23T14:27:46Z,2025-10-23T14:27:46Z,No
['GEM/2025/B/6789189'],V/UHF Hand Held Radio set - Cots,[10],Ministry of Defence Department of Military Affairs,2025-10-23T14:30:17Z,2025-10-23T14:30:17Z,No
['GEM/2025/B/6788530'],"Fire Retardant Coat,Fire Retardant Coat",[4000],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23T16:34:36Z,2025-10-23T16:34:36Z,No
['GEM/2025/B/6788328'],Table for textile printing lab works,[2],Ministry of Commerce and Industry Department for Promotion of Industry &amp; Internal Trade,2025-10-21T18:08:06Z,2025-10-21T18:08:06Z,No
['GEM/2025/B/6786732'],"Gloves for Divers,Swim Mask Silicon,Swim Fin Rubber,Under Water Torch Hand Held,Knife Swimmer light",[7],Ministry of Defence Department of Military Affairs,2025-10-23T14:12:14Z,2025-10-23T14:12:14Z,No
['GEM/2025/B/6785245'],"EMERY PAPER, WATER PROOF, GRIT 220, SIZE 230X280MM,EMERY PAPER, WATER PROOF, GRIT 320, SIZE 230X280",[8520],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-21T09:51:53Z,2025-10-21T09:51:53Z,No
['GEM/2025/B/6784704'],Repair and Overhauling Service - REPAIR OF TROLLEY NITROGEN CHARGING; NA; Yes; Buyer Premises,[4],Ministry of Defence Department of Military Affairs,2025-10-23T17:16:32Z,2025-10-23T17:16:32Z,No
['GEM/2025/B/6782642'],Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,[3],Ministry of Defence Department of Defence,2025-10-23T09:58:29Z,2025-10-23T09:58:29Z,No
['GEM/2025/B/6817650'],STICHED UNIFORM WITH CIPET LOGO,[182],Ministry of Chemicals and Fertilizers Department of Chemicals and Petrochemicals,2025-10-23T16:58:06Z,2025-10-23T16:58:06Z,No
['GEM/2025/B/6817385'],"3000008,3000010,3000011,3000013,3000015,3000016",[5430],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-23T15:31:01Z,2025-10-23T15:31:01Z,No
['GEM/2025/B/6817156'],Annual Maintenance service-AIR CONDITIONER,[1],Ministry of Corporate Affairs NA,2025-10-23T15:20:32Z,2025-10-23T15:20:32Z,No
['GEM/2025/B/6816795'],"Custom Bid for Services - Cost of Minimum Wages for Manpower,Custom Bid for Services - Statutory Co",[8],Ministry of Railways Indian Railways,2025-10-23T15:30:43Z,2025-10-23T15:30:43Z,No
['GEM/2025/B/6816786'],Monthly Basis Cab & Taxi Hiring Services - MUV; 2500 km X 360 hours; Outstation 24*7,[12],Ministry of Railways Indian Railways,2025-10-23T14:33:44Z,2025-10-23T14:33:44Z,No
['GEM/2025/B/6815861'],"Custom Bid for Services - Outsourcing for Operations for 17 Seventeen Traction Sub Stations at GDR,",[3],Ministry of Railways Indian Railways,2025-10-23T16:37:46Z,2025-10-23T16:37:46Z,No
['GEM/2025/B/6815812'],Monthly Basis Cab & Taxi Hiring Services - MUV; 2500 km X 360 hours; Outstation 24*7,[2],Ministry of Railways Indian Railways,2025-10-23T11:22:44Z,2025-10-23T11:22:44Z,No
['GEM/2025/B/6814432'],"revolving chairs,revolving chair,revolvingchair,chairrevolving,chair revolving",[35],"Ministry of Ports, Shipping and Waterways NA",2025-10-23T10:54:30Z,2025-10-23T10:54:30Z,No
['GEM/2025/B/6813996'],Custom Bid for Services - Arrangement of Inspection Vehicle,[1],Ministry of Housing & Urban Affairs (MoHUA) Central Public Works Department,2025-10-22T15:39:54Z,2025-10-22T15:39:54Z,No
['GEM/2025/B/6813909'],"Smart TV- 65 Inch,Video Conferencing solution with required accessories,Distribution Switch 24 X 10",[555],Ministry of Civil Aviation Airports Authority of India (AAI),2025-10-22T17:12:18Z,2025-10-22T17:12:18Z,No
['GEM/2025/B/6813242'],PRE-COMPLIANCE EMI RECEIVER,[1],Ministry of Electronics and Information Technology Department of Electronics and Information Technology,2025-10-22T14:15:01Z,2025-10-22T14:15:01Z,No
['GEM/2025/B/6813157'],Custom Bid for Services - WELDING ACTIVITY BZA & COA FRT YARDS SCH I Provision of Semi-skilled Manp,[9],Ministry of Railways Indian Railways,2025-10-22T16:45:48Z,2025-10-22T16:45:48Z,No
['GEM/2025/B/6813069'],"Cables, Converters and Adapters",[50],Department of Space Department of Space,2025-10-23T16:14:43Z,2025-10-23T16:14:43Z,No
['GEM/2025/B/6813035'],Goods Transport Service – Per Trip based  Service - Machinery & Equipment; Closed Body LCV Truck;,[8],Department of Space Department of Space,2025-10-23T17:54:02Z,2025-10-23T17:54:02Z,No
