Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6855797'],Repair and Overhauling Service - COMPRESSED AIR TYPE BREATHING APPARATUS 30 MINUTES RATING; NA; Yes,[4],Ministry of Defence Department of Military Affairs,2025-11-06T09:52:56Z,2025-11-06T09:52:56Z,No
['GEM/2025/B/6859520'],Repair and Overhauling Service - JACK HYDRAULIC OF MI-17/MI-17IV; JACK HYDRAULIC OF MI-17/MI-17IV; ,[8],Ministry of Defence Department of Military Affairs,2025-11-06T10:25:55Z,2025-11-06T10:25:55Z,No
['GEM/2025/B/6846358'],Inverted Matllurgical Microscope,[1],Education Department Chandigarh,2025-11-06T10:23:30Z,2025-11-06T10:23:30Z,No
['GEM/2025/B/6797111'],PHE bid,[1],Education Department Chandigarh,2025-10-17T10:31:46Z,2025-10-17T10:31:46Z,No
['GEM/2025/B/6853264'],DEVICE FOR CHECKING DIMENSION OF SHOUD TO BE USED WITH R,[1],Ministry of Defence Department of Military Affairs,2025-11-04T10:47:14Z,2025-11-04T10:47:14Z,No
['GEM/2025/B/6853506'],DEVICE FOR CHECKING TRAILING EDGE THICKNESS,[1],Ministry of Defence Department of Military Affairs,2025-11-04T11:06:23Z,2025-11-04T11:06:23Z,No
['GEM/2025/B/6851422'],MACHINED BODY & BOTTOM OF TNPO-170A[ WITHOUT PAINT],[413],Ministry of Defence Department of Defence Production,2025-11-04T10:40:57Z,2025-11-04T10:40:57Z,No
['GEM/2025/B/6685796'],"Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_1",[12],Health Department Chandigarh,2025-10-06T11:07:37Z,2025-10-06T11:07:37Z,No
['GEM/2025/B/6777243'],"Warehousing Service - Per MT Basis - Food grain storage,Location Moga DMKT/KIK  capacity 25000:As p",[2],Agriculture Department Punjab,2025-10-10T16:23:26Z,2025-10-10T16:23:26Z,No
['GEM/2025/B/6836385'],Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,[2],Agriculture Department Chandigarh,2025-10-30T13:52:15Z,2025-10-30T13:52:15Z,No
['GEM/2025/B/6776822'],"Warehousing Service - Per MT Basis - Food grain storage, Location Bathinda	Mansa	Sardulgarh	Sirsa c",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-10T15:42:47Z,2025-10-10T15:42:47Z,No
['GEM/2025/B/6842317'],Engine Oil multi grade SAE 15 W 40 Oil with API CH-4 55 Ltr (Valvoline Premium Blue),[6],Ministry of Defence Department of Military Affairs,2025-10-31T09:56:25Z,2025-10-31T09:56:25Z,No
['GEM/2025/B/6839438'],"12V 2.5 AH BATTERY,12V 4 AH BATTERY,12V 7.5 AH BATTERY,12V 9 AH BATTERY,12V 12 AH BATTERY,12V 18 AH",[215],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-30T16:42:56Z,2025-10-30T16:42:56Z,No
['GEM/2025/B/6839771'],"Vehicle Hiring Service - Per Vehicle-Day basis - SUV/MUV; 2023, 2024, 2025; Local + Outstation; Pla",[20],Ministry of Finance Department of Revenue,2025-10-31T10:03:59Z,2025-10-31T10:03:59Z,No
['GEM/2025/B/6845045'],"Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,Manpower Outsourcing ",[18],Ministry of Finance Department of Expenditure,2025-10-31T19:18:41Z,2025-10-31T19:18:41Z,No
['GEM/2025/B/6855995'],"ELEMENT FUEL FILTER,ELEMENT OIL BY PASS FILTER,ELEMENT LUB OIL FILTER",[16],Ministry of Defence Department of Military Affairs,2025-11-06T09:47:34Z,2025-11-06T09:47:34Z,No
['GEM/2025/B/6855797'],Repair and Overhauling Service - COMPRESSED AIR TYPE BREATHING APPARATUS 30 MINUTES RATING; NA; Yes,[4],Ministry of Defence Department of Military Affairs,2025-11-06T09:52:56Z,2025-11-06T09:52:56Z,No
['GEM/2025/B/6856793'],Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,[62],Engineering Department Chandigarh,2025-11-04T18:24:16Z,2025-11-04T18:24:16Z,No
['GEM/2025/B/6830671'],"Warehousing Service - Per MT Basis - Food grain storage, Location	Ludhiana	Ludhiana	Dakha /Jangpur ",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:26:25Z,2025-10-28T15:26:25Z,No
['GEM/2025/B/6830607'],"Warehousing Service - Per MT Basis - Food grain storage, Location	Ludhiana	Ludhiana	Chawapail/ Mach",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:25:53Z,2025-10-28T15:25:53Z,No
['GEM/2025/B/6830544'],"Warehousing Service - Per MT Basis - Food grain storage, Location	Chandigarh	Ropar	Chamkaur Sahib/ ",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:25:23Z,2025-10-28T15:25:23Z,No
['GEM/2025/B/6830497'],"Warehousing Service - Per MT Basis - Food grain storage, Location	Kapurthala	Kapurthala	Bholath	Kar",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:24:47Z,2025-10-28T15:24:47Z,No
['GEM/2025/B/6830454'],"Warehousing Service - Per MT Basis - Food grain storage, Location	Jalandhar	Jalandhar	Bhogpur	Tanda",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:24:04Z,2025-10-28T15:24:04Z,No
['GEM/2025/B/6830397'],"Warehousing Service - Per MT Basis - Food grain storage, Location	Sangrur	Sangrur	Bhawanigarh	Sangr",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:21:50Z,2025-10-28T15:21:50Z,No
['GEM/2025/B/6830322'],"Warehousing Service - Per MT Basis - Food grain storage, Location, Faridkot	Sri Muktsar Sahib	Bariw",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:21:04Z,2025-10-28T15:21:04Z,No
['GEM/2025/B/6830264'],"Warehousing Service - Per MT Basis - Food grain storage, Location, Jalandhar	SBS Nagar	Banga	Banga	",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:19:59Z,2025-10-28T15:19:59Z,No
['GEM/2025/B/6830207'],"Warehousing Service - Per MT Basis - Food grain storage, Location, Jalandhar	SBS Nagar	Balachaur	Ro",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:19:23Z,2025-10-28T15:19:23Z,No
['GEM/2025/B/6830149'],"Warehousing Service - Per MT Basis - Food grain storage, Location, Moga	Moga	Baghapurana	KKP capaci",[2],Food Civil Supplies and Consumer Affairs Department Punjab,2025-10-28T15:18:49Z,2025-10-28T15:18:49Z,No
['GEM/2025/B/6789064'],Ondansetron Injection,[86000],Education Department Chandigarh,2025-10-15T09:48:24Z,2025-10-15T09:48:24Z,No
['GEM/2025/B/6830504'],Intravenous Cannula (IV Cannula),[200000],Education Department Chandigarh,2025-11-04T16:34:26Z,2025-11-04T16:34:26Z,No
['GEM/2025/B/6829873'],Endotracheal Tubes (V2),[6000],Education Department Chandigarh,2025-11-04T16:36:40Z,2025-11-04T16:36:40Z,No
['GEM/2025/B/6815495'],Blanket Barrack and Hospital Blanket (Defence),[1000],Education Department Chandigarh,2025-11-04T16:43:06Z,2025-11-04T16:43:06Z,No
['GEM/2025/B/6793700'],Computer Table (V2),[50],Education Department Chandigarh,2025-11-04T16:38:46Z,2025-11-04T16:38:46Z,No
['GEM/2025/B/6783962'],Detachable Surgical Blades (Bard Parker Type),[60000],Education Department Chandigarh,2025-11-04T16:32:17Z,2025-11-04T16:32:17Z,No
['GEM/2025/B/6749046'],Paper-based Printing Services - Printing with Material; Book/Booklet; Offset,[350],Education Department Chandigarh,2025-11-04T16:19:09Z,2025-11-04T16:19:09Z,No
['GEM/2025/B/6765587'],Bio - Medical Waste Collection Bags (Biohazard Bags),[20000],Education Department Chandigarh,2025-11-04T15:31:58Z,2025-11-04T15:31:58Z,No
['GEM/2025/B/6743749'],"ECT Machine,five Head bands with push button,Conductive jelly,Round strap electrode,Bite Block,Fuse",[90],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-14T14:05:55Z,2025-10-14T14:05:55Z,No
['GEM/2025/B/6854744'],Portable Ultrasound Machine (V2),[2],Health Department Chandigarh,2025-11-04T15:24:51Z,2025-11-04T15:24:51Z,No
['GEM/2025/B/6834183'],"Auditorium Chairs,Carpet tiles,sofa foam,Auditorium Chairs,Removed chair",[1516],Ministry of Defence Department of Defence Research & Development,2025-10-30T10:56:41Z,2025-10-30T10:56:41Z,No
['GEM/2025/B/6705425'],Custom Bid for Services - CONSULTANCY SERVICE FOR SOIL INVESTIGATION AND DESIGN FOR PROVN OF WORK S,[1],Ministry of Defence Department of Military Affairs,2025-10-30T11:10:09Z,2025-10-30T11:10:09Z,No
['GEM/2025/B/6838679'],Foam Dressing,[290],Education Department Chandigarh,2025-10-30T12:25:23Z,2025-10-30T12:25:23Z,No
['GEM/2025/B/6726629'],THERMAL CVD CUM FURNANCE,[1],Education Department Chandigarh,2025-10-27T14:47:26Z,2025-10-27T14:47:26Z,No
