Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6788766,Local Chemist Empanelment Service,263000,"Ministry of Ports, Shipping and Waterways NA",2025-10-14 18:12:15Z,2025-10-14 18:12:15Z,No
GEM/2025/B/6856023,"Printed Stationery 1,Printed Stationery 2,Printed Stationery 3,Printed Stationery 4,Printed Station",13370,"Ministry of Ports, Shipping and Waterways Dredging Corporation of India Limited",2025-11-04 16:46:58Z,2025-11-04 16:46:58Z,No
GEM/2025/B/6838609,Monthly Basis Cab & Taxi Hiring Services - Sedan; 2500 km x 320 hours; Local,1,Ministry of Petroleum and Natural Gas Balmer Lawrie and Company Limited,2025-11-04 16:51:22Z,2025-11-04 16:51:22Z,No
GEM/2025/B/6809837,Custom Bid for Services - 800061637 Occupational health checkup 2025 at NTPC Simhadri,1,Ministry of Power NA,2025-10-21 11:11:52Z,2025-10-21 11:11:52Z,No
GEM/2025/B/6856615,Custom Bid for Services - PESO NOC DRAWING PREPERATION,1,Ministry of Petroleum and Natural Gas NA,2025-11-04 17:48:59Z,2025-11-04 17:48:59Z,No
GEM/2025/B/6805132,Event or Seminar or Workshop or Exhibition or Expo Management Service - National; TOUR AND SIGHTSEE,1,Ministry of Defence Department of Military Affairs,2025-10-26 09:38:19Z,2025-10-26 09:38:19Z,No
GEM/2025/B/6805346,Event or Seminar or Workshop or Exhibition or Expo Management Service - National; TOUR AND SIGHTSEE,1,Ministry of Defence Department of Military Affairs,2025-10-26 10:21:32Z,2025-10-26 10:21:32Z,No
GEM/2025/B/6858342,"PRINTING OF ERA WORK BOOK,PRINTING OF NIGHT ROUND BOOK,PRINTING OF INVITATION CARD,PRINTING OF RECO",215,Ministry of Defence Department of Military Affairs,2025-11-05 14:32:22Z,2025-11-05 14:32:22Z,No
GEM/2025/B/6845358,"24V, 62.5A (1.5kw) , Rectifier+ converter with integral DCDB, SMPS Based, Floor Mounted,42 AH, 4 Bl",3,Ministry of Defence Department of Defence,2025-11-05 14:38:36Z,2025-11-05 14:38:36Z,No
GEM/2025/B/6798242,"ABOVE DECKS UNIT ASSEMBLY WITH PART NO 71090007008/2007-3000-00,PCU CONTROL PANEL WITH PART NO 6109",7,Ministry of Defence Department of Military Affairs,2025-11-05 14:37:35Z,2025-11-05 14:37:35Z,No
GEM/2025/B/6851776,"SLF PLUS N12 BACK TYRE BSIII,TUBE BACK TYRE BSIII,SLF N8 FRONT TYRE BSIII and BSIV,TUBE FRONT TYRE ",20,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,2025-11-04 10:49:14Z,2025-11-04 10:49:14Z,No
GEM/2025/B/6845924,Repair and Overhauling Service - MANUFACTURING AND SUPPLY OF BRUSHED STAINLESS STEEL STORAGE ARRANG,1,Ministry of Defence Department of Military Affairs,2025-11-04 10:46:04Z,2025-11-04 10:46:04Z,No
GEM/2025/B/6853370,CEF-1 card (141-PCA000165-E) of TEJAS TJ1400,2,Ministry of Power NA,2025-11-04 11:06:40Z,2025-11-04 11:06:40Z,No
GEM/2025/B/6853253,"ELMNT TMP THRMCPL 300MM,ELMNT TMP THRMCPL 350MM,ELMNT TMP THRMCPL 450MM,ELMNT TMP THRMCPL 600MM,ELM",2370,Ministry of Petroleum and Natural Gas NA,2025-11-04 11:08:47Z,2025-11-04 11:08:47Z,No
GEM/2025/B/6787308,"PR_ 100265242_ M2714950211_ PORTA CABIN, MILD STEEL_ Item-10_ Schedule-1",4,Ministry of Power NA,2025-11-04 11:21:07Z,2025-11-04 11:21:07Z,No
GEM/2025/B/6787152,"INTEL XEON SERVER, RACK OPTIMIZED",2,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-14 16:46:03Z,2025-10-14 16:46:03Z,No
GEM/2025/B/6851375,"DS CLMN PARTS CLAMP 52 90 C 06 316L,DS CLMN PARTS CLAMP 52 90 C 06 410S,DS CLMN PARTS CLAMP MWL3 86",5225,Ministry of Petroleum and Natural Gas NA,2025-11-04 11:43:36Z,2025-11-04 11:43:36Z,No
GEM/2025/B/6838733,Portable Power Generators,3,Ministry of Defence Department of Military Affairs,2025-11-04 11:31:05Z,2025-11-04 11:31:05Z,No
GEM/2025/B/6853960,Fire Resistant Action Overall (Navy),6,PMO Department of Atomic Energy,2025-11-04 11:45:22Z,2025-11-04 11:45:22Z,No
