Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6836036,"scrubbing brush,scrubbing brush",600,Ministry of Skill Development and Entrepreneurship NA,2025-10-29T16:46:17Z,2025-10-29T16:46:17Z,No
GEM/2025/B/6837396,"Pre transfer Corona Assembly for Canon IR ADV 6575i,ADF PCB for Canon IR ADV 6575i,Fuser Unit for C",9,"Ministry of Ports, Shipping and Waterways NA",2025-10-29T19:56:33Z,2025-10-29T19:56:33Z,No
GEM/2025/B/6832352,"Title1,Title2,Title3,Title4,Title5",33,Education Department Andaman & Nicobar,2025-10-29T21:41:25Z,2025-10-29T21:41:25Z,No
GEM/2025/B/6839744,"NK000050,NK001007,NK000115,NK000085,NK000059",7,Ministry of Defence Department of Military Affairs,2025-10-30T13:42:51Z,2025-10-30T13:42:51Z,No
GEM/2025/B/6840209,Facility Management Services - LumpSum Based - JNV; Enhancement of School Facilities and Aesthetics,1,Ministry of Education Department of School Education and Literacy,2025-10-30T15:18:37Z,2025-10-30T15:18:37Z,No
GEM/2025/B/6817791,Repair and Overhauling Service - built up trucks; TATA MOTORS; Yes; Service Provider Premises,1,Health Department Andaman & Nicobar,2025-10-30T15:05:10Z,2025-10-30T15:05:10Z,No
GEM/2025/B/6734495,Custom Bid for Services - COMPREHENSIVE ANNUAL MAINTENANCE CONTRACT FOR HIGH FREQUENCY MONOCONE ANT,1,Ministry of Defence Department of Military Affairs,2025-10-30T15:09:28Z,2025-10-30T15:09:28Z,No
GEM/2025/B/6838037,"Domestic Wiper/Wiper Mopper (V3),Domestic Wiper/Wiper Mopper (V3),Domestic Wiper/Wiper Mopper (V3),",2400,Ministry of Skill Development and Entrepreneurship NA,2025-10-30T10:12:21Z,2025-10-30T10:12:21Z,No
GEM/2025/B/6686945,"Spark plug,Carburetor,Blade,Blade assymbly,Ignition Coil,Rope assembly,Bobbin Wire,Fan Belt,Piston,",105,Ministry of Defence Department of Military Affairs,2025-10-28T08:15:39Z,2025-10-28T08:15:39Z,No
GEM/2025/B/6832966,"Water Dispenser with Refrigerator 3 taps,Telephone,Rat Box,White Board 3X4ft,Notice Board 3X2 ft,Wa",144,Ministry of Defence Department of Military Affairs,2025-10-28T17:53:04Z,2025-10-28T17:53:04Z,No
GEM/2025/B/6832624,"Interactive Panels with CPU,Movable Stand for Mounting Digital Display",2,Ministry of Defence Department of Military Affairs,2025-10-28T17:09:26Z,2025-10-28T17:09:26Z,No
GEM/2025/B/6810116,"Toner Cartridges / Ink Cartridges / Consumables for Printers,Toner Cartridges / Ink Cartridges / Co",30,Health Department Andaman & Nicobar,2025-10-28T21:14:55Z,2025-10-28T21:14:55Z,No
GEM/2025/B/6810073,Toner Cartridges / Ink Cartridges / Consumables for Printers,10,Health Department Andaman & Nicobar,2025-10-28T21:09:37Z,2025-10-28T21:09:37Z,No
GEM/2025/B/6756822,Azotobacter (Bio Fertilizers)-IS:9138,572,Agriculture Department Andaman & Nicobar,2025-10-28T10:06:45Z,2025-10-28T10:06:45Z,No
GEM/2025/B/6756787,Azospirillum (Bio Fertilizers)-IS:14806,440,Agriculture Department Andaman & Nicobar,2025-10-28T10:09:16Z,2025-10-28T10:09:16Z,No
GEM/2025/B/6756761,Phosphate Solubilizing Bacteria,860,Agriculture Department Andaman & Nicobar,2025-10-28T10:23:11Z,2025-10-28T10:23:11Z,No
